Sourcerecord ID,Source Title,ISSN,EISSN,Active or Inactive,Coverage,Article Language in Source (Three-Letter ISO Language Codes),Medline-sourced Title? (See additional details under separate tab.),Open Access Status,Articles in Press Included?,Source Type,Title History Indication,Related Title 1,Publisher,Publisher Imprints Grouped to Main Publisher,All Science Journal Classification Codes (ASJC),"Top level:

Life Sciences","Top level:

Social Sciences","Top level:

Physical Sciences","Top level:

Health Sciences","1100
Agricultural and Biological Sciences","1200
Arts and Humanities","1300
Biochemistry, Genetics and Molecular Biology","1700
Computer Science","1900
Earth and Planetary Sciences","2200
Engineering","2300
Environmental Science","2700
Medicine","3300
Social Sciences",Subject_Tags,Subject_Count,Is_Active,Is_Open_Access
21101170611,@grh,20349130,22959149,Active,2023-2024,ENG; FRE,,,,Journal,,,Association Francophone de Gestion des Relations Humaines,Association Francophone de Gestion des Relations Humaines,1407,,Social Sciences,,,,,,,,,,,,General,1,1,0
21100832755,1700-tal: nordic journal for eighteenth-century studies,16524772,20019866,Active,2019-2024; 2016-2017,DAN; FIN; GER; NOR,,Unpaywall Open Access,,Journal,,,Swedish Society for Eighteenth-Century Studies,Swedish Society for Eighteenth-Century Studies,1213; 3316; 1202,,Social Sciences,,,,Arts and Humanities ,,,,,,,Social Sciences ,"1200
Arts and Humanities|3300
Social Sciences",2,1,0
21101194408,20 & 21: revue d'histoire,2649664X,26496100,Active,2022-2024,ENG; FRE,,,,Journal,Formerly known as,Vingtieme Siecle: Revue d'Histoire,Presses de Sciences Po,Presses de Sciences Po,1202,,Social Sciences,,,,Arts and Humanities ,,,,,,,,"1200
Arts and Humanities",1,1,0
21100404576,2d materials,,20531583,Active,2014-2025,ENG,,,,Journal,,,IOP Publishing Ltd.,Institute of Physics Publishing,2210; 2211; 3104; 2500; 1600,,,Physical Sciences,,,,,,,Engineering ,,,,"2200
Engineering",1,1,0
21100447128,3 biotech,2190572X,21905738,Active,2011-2026,ENG,,,,Journal,,,Springer Science and Business Media Deutschland GmbH,Springer Nature,2301; 1101; 1305,Life Sciences,,Physical Sciences,,Agricultural and Biological Sciences ,,"Biochemistry, Genetics and Molecular Biology ",,,,Environmental Science ,,,"1100
Agricultural and Biological Sciences|1300
Biochemistry, Genetics and Molecular Biology|2300
Environmental Science",3,1,0
21100779062,3d printing and additive manufacturing,23297662,23297670,Active,2014-2025,ENG,,,Articles in Press,Journal,,,Mary Ann Liebert Inc.,Mary Ann Liebert,2209; 2501,,,Physical Sciences,,,,,,,Engineering ,,,,"2200
Engineering",1,1,0
21100932761,3d printing in medicine,,23656271,Active,2016-2026,ENG,,Unpaywall Open Access,,Journal,,,BioMed Central Ltd,Springer Nature,2741; 1706; 2204,,,Physical Sciences,Health Sciences,,,,Computer Science ,,Engineering ,,Medicine ,,"1700
Computer Science|2200
Engineering|2700
Medicine",3,1,0
19700200922,"3l: language, linguistics, literature",01285157,25502247,Active,2008-2025,ENG,,Unpaywall Open Access,,Journal,,,Penerbit Universiti Kebangsaan Malaysia,Penerbit Universiti Kebangsaan Malaysia,3310; 1208; 1203,,Social Sciences,,,,Arts and Humanities ,,,,,,,Social Sciences ,"1200
Arts and Humanities|3300
Social Sciences",2,1,0
21101005201,452ºf,,20133294,Active,2019-2025,CAT; SPA,,Unpaywall Open Access,,Journal,,,"Universitat de Barcelona, Facultad de Filologia","Universitat de Barcelona, Facultad de Filologia",1208,,Social Sciences,,,,Arts and Humanities ,,,,,,,,"1200
Arts and Humanities",1,1,0
145295,4or,16194500,16142411,Active,2003-2026,ENG,,,Articles in Press,Journal,,,Springer,Springer Nature,1703; 1803; 1404; 2614,,Social Sciences,Physical Sciences,,,,,Computer Science ,,,,,,"1700
Computer Science",1,1,0
16400154734,a + u-architecture and urbanism,03899160,,Active,2002-2025,ENG; JPN,,,,Journal,,,"Japan Architects Co., Ltd.","Japan Architects Co., Ltd.",3322; 1213; 2216,,Social Sciences,Physical Sciences,,,Arts and Humanities ,,,,Engineering ,,,Social Sciences ,"1200
Arts and Humanities|2200
Engineering|3300
Social Sciences",3,1,0
21100881366,a and a practice,,25753126,Active,2018-2026,ENG,Medline,,Articles in Press,Journal,Formerly known as,A and A Case Reports,Wolters Kluwer Health,Wolters Kluwer Health,2700,,,,Health Sciences,,,,,,,,Medicine ,,"2700
Medicine",1,1,0
21101076713,a e c - revista de direito administrativo e constitucional,15163210,19844182,Active,2019-2025,ENG; FRE; POR; SPA,,,,Journal,,,Instituto de Direito Romeu Felipe Bacellar,Instituto de Direito Romeu Felipe Bacellar,3308,,Social Sciences,,,,,,,,,,,Social Sciences ,"3300
Social Sciences",1,1,0
21100456161,a/b: auto/biography studies,08989575,21517290,Active,2015-2026; 2011; 2006; 2001; 1997; 1990-1992; 1985-1986,ENG,,,Articles in Press,Journal,,,Routledge,Taylor & Francis,3316; 1202; 1208,,Social Sciences,,,,Arts and Humanities ,,,,,,,Social Sciences ,"1200
Arts and Humanities|3300
Social Sciences",2,1,0
11600153683,a/z itu journal of the faculty of architecture,25647474,25647571,Active,2011-2025,ENG,,Unpaywall Open Access,,Journal,,,"Istanbul Teknik Universitesi, Faculty of Architecture","Istanbul Teknik Universitesi, Faculty of Architecture",1213; 3322; 2216; 2205,,Social Sciences,Physical Sciences,,,Arts and Humanities ,,,,Engineering ,,,Social Sciences ,"1200
Arts and Humanities|2200
Engineering|3300
Social Sciences",3,1,0
21100780699,a+be architecture and the built environment,22123202,22147233,Active,2021-2024; 2016-2018,ENG,,,,Book Series,,,TU Delft,TU Delft,1202; 3322; 2215; 2216,,Social Sciences,Physical Sciences,,,Arts and Humanities ,,,,Engineering ,,,Social Sciences ,"1200
Arts and Humanities|2200
Engineering|3300
Social Sciences",3,1,0
5800207606,aaa - arbeiten aus anglistik und amerikanistik,01715410,,Active,2002-2025,GER,,,,Journal,,,Gunter Narr Verlag,Gunter Narr Verlag,1208; 3310; 1203,,Social Sciences,,,,Arts and Humanities ,,,,,,,Social Sciences ,"1200
Arts and Humanities|3300
Social Sciences",2,1,0
28033,aac: augmentative and alternative communication,07434618,14773848,Active,1985-2026,ENG,Medline,,Articles in Press,Journal,,,Taylor and Francis Ltd.,Taylor & Francis,3616; 2742,,,,Health Sciences,,,,,,,,Medicine ,,"2700
Medicine",1,1,0
21101304521,aace endocrinology and diabetes,,30509157,Active,2025-2026,ENG,,,Articles in Press,Journal,Formerly known as,AACE Clinical Case Reports,Elsevier B.V.,Elsevier,2712,,,,Health Sciences,,,,,,,,Medicine ,,"2700
Medicine",1,1,0
19300156808,aacl bioflux,18448143,18449166,Active,2009-2025; 2006,ENG,,,,Journal,,,Bioflux Publishing House,Bioflux Publishing House,2308; 2312; 1104; 1105,Life Sciences,,Physical Sciences,,Agricultural and Biological Sciences ,,,,,,Environmental Science ,,,"1100
Agricultural and Biological Sciences|2300
Environmental Science",2,1,0
4700152443,aacn advanced critical care,15597768,15597776,Active,2006-2025,ENG,Medline,,,Journal,Formerly known as,AACN Clinical Issues,American Association of Critical-Care Nurses,American Association of Critical-Care Nurses,2711; 2906,,,,Health Sciences,,,,,,,,Medicine ,,"2700
Medicine",1,1,0
5100155055,aao journal,23755776,23755717,Active,2006-2025,ENG,,,,Journal,,,American Academy of Osteopathy,American Academy of Osteopathy,2707; 3603; 2902,,,,Health Sciences,,,,,,,,Medicine ,,"2700
Medicine",1,1,0
30787,aapg bulletin,01491423,,Active,1967-2024; 1950; 1943,ENG,,,,Journal,,,American Association of Petroleum Geologists,American Association of Petroleum Geologists,1907; 1906; 2103; 2102; 1901,,,Physical Sciences,,,,,,Earth and Planetary Sciences ,,,,,"1900
Earth and Planetary Sciences",1,1,0
21100199540,"aapp atti della accademia peloritana dei pericolanti, classe di scienze fisiche, matematiche e naturali",03650359,18251242,Active,2004-2025,ENG; ITA,,,,Journal,,,Accademia Peloritana dei Pericolanti,Accademia Peloritana dei Pericolanti,1900; 1207; 3100; 1100; 2600; 1600; 1700,Life Sciences,Social Sciences,Physical Sciences,,Agricultural and Biological Sciences ,Arts and Humanities ,,Computer Science ,Earth and Planetary Sciences ,,,,,"1100
Agricultural and Biological Sciences|1200
Arts and Humanities|1700
Computer Science|1900
Earth and Planetary Sciences",4,1,0
21101165632,aapps bulletin,02182203,23094710,Active,2021-2025,ENG,,Unpaywall Open Access,,Journal,,,Springer,Springer Nature,3100,,,Physical Sciences,,,,,,,,,,,General,1,1,0
21100853564,aaps advances in the pharmaceutical sciences series,22107371,2210738X,Active,2014-2026; 2011,ENG,,,,Book Series,,,Springer,Springer Nature,3003,Life Sciences,,,,,,,,,,,,,General,1,1,0
4000148019,aaps journal,,15507416,Active,1999-2026,ENG,Medline,,,Journal,Formerly known as,AAPS PharmSci,Springer Science and Business Media Deutschland GmbH,Springer Nature,3003,Life Sciences,,,,,,,,,,,,,General,1,1,0
19374,aaps pharmscitech,,15309932,Active,2000-2026,ENG,Medline,,,Journal,,,Springer Science and Business Media Deutschland GmbH,Springer Nature,3003,Life Sciences,,,,,,,,,,,,,General,1,1,0
21101061448,aas open research,,25159321,Active,2018-2024,ENG,,Unpaywall Open Access,,Journal,,,F1000 Research Ltd,Taylor & Francis,1000,,,,,,,,,,,,,,General,1,1,0
21100776059,aatcc journal of research,24723444,23305517,Active,2014-2025,ENG,,,,Journal,,,SAGE Publications Inc.,SAGE,2505; 2507; 1508,,,Physical Sciences,,,,,,,,,,,General,1,1,0
